Generation,MaxFitness
1,8.308001000000171
2,8.352001000000165
3,8.308001000000166
4,8.42800100000017
5,8.326001000000163
6,8.41000100000017
7,8.372001000000177
8,8.296001000000174
9,8.340001000000164
10,8.354001000000176
11,8.326001000000167
12,8.384001000000167
13,7.324001000000008
14,8.304001000000163
15,8.348001000000169
16,8.334001000000177
17,8.390001000000167
18,8.308001000000159
19,8.316001000000163
20,8.36400100000017
21,8.302001000000175
22,8.354001000000165
23,8.276001000000166
24,8.290001000000164
25,8.370001000000165
26,8.39600100000017
27,8.36000100000017
28,8.378001000000166
29,8.308001000000164
30,8.352001000000172
31,8.39200100000017
32,8.372001000000166
33,8.336001000000175
34,8.332001000000172
35,8.34000100000016
36,8.352001000000177
37,8.42200100000017
38,8.360001000000166
39,8.31000100000016
40,8.288001000000166
41,8.36600100000017
42,8.596001000000152
43,8.334001000000171
44,8.296001000000171
45,7.346001000000167
46,8.386001000000169
47,8.284001000000163
48,8.348001000000169
49,8.346001000000161
50,8.346001000000177
