Generation,MaxFitness
1,4.542000999999959
2,4.506000999999961
3,4.48200099999996
4,4.51000099999996
5,4.568000999999932
6,4.100000999999942
7,4.652000999999939
8,3.970000999999972
9,4.320000999999963
10,4.426000999999931
11,4.278000999999956
12,4.128000999999958
13,4.916000999999935
14,4.370000999999945
15,4.032000999999967
16,4.65600099999994
17,4.586000999999947
18,4.4740009999999595
19,4.58200099999994
20,4.10000099999995
21,4.028000999999959
22,4.678000999999946
23,4.408000999999961
24,4.372000999999963
25,4.092000999999966
26,4.378000999999962
27,4.376000999999962
28,4.316000999999953
29,4.330000999999953
30,4.406000999999962
31,4.012000999999968
32,4.330000999999963
33,4.056000999999967
34,4.418000999999961
35,4.066000999999967
36,4.332000999999934
37,4.384000999999962
38,4.102000999999962
39,4.036000999999967
40,4.1000009999999385
41,4.382000999999962
42,4.53400099999993
43,4.092000999999966
44,4.3620009999999425
45,4.324000999999963
46,3.9060009999999634
47,4.798000999999924
48,4.602000999999931
49,4.108000999999966
50,4.388000999999962
51,4.0800009999999665
52,4.094000999999946
53,4.060000999999966
54,4.372000999999962
55,4.170000999999956
56,4.330000999999964
57,4.384000999999961
58,4.400000999999942
59,4.382000999999961
60,4.032000999999967
61,4.084000999999966
62,4.124000999999966
63,3.9240009999999756
64,4.416000999999962
65,3.940000999999972
66,4.354000999999962
67,4.628000999999956
68,4.358000999999962
69,4.678000999999939
70,4.280000999999957
