Generation,MaxFitness
1,4.188000999999965
2,3.902000999999963
3,3.8860009999999616
4,4.102000999999958
5,4.212000999999964
6,4.312000999999961
7,4.184000999999964
8,5.016000999999934
9,4.340000999999952
10,4.224000999999957
11,4.6880009999999395
12,4.97400099999993
13,4.342000999999943
14,4.812000999999924
15,4.7660009999999255
16,4.146000999999967
17,4.834000999999941
18,4.868000999999927
19,4.348000999999954
20,4.320000999999953
21,4.332000999999958
22,4.902000999999925
23,5.020000999999936
24,4.944000999999921
25,4.46600099999995
26,4.9320009999999215
27,4.9160009999999215
28,4.8680009999999285
29,4.724000999999927
30,4.99400099999994
31,4.628000999999942
32,4.308000999999956
33,4.418000999999961
34,4.2440009999999555
35,5.064000999999922
36,4.43400099999996
37,4.98400099999994
38,4.550000999999952
39,4.328000999999962
40,4.284000999999964
41,4.5460009999999444
42,4.282000999999965
43,4.488000999999934
44,4.320000999999964
45,4.364000999999953
46,4.674000999999937
47,4.250000999999957
48,4.286000999999958
49,4.554000999999949
50,5.062000999999929
