p1_x,p1_y,p2_x,p2_y,ball_x,ball_y,ball_vel_0,ball_vel_1,possession
0.15625,0.5,0.84375,0.5,0.5,0.5,0.16666667,0.0,0.0
0.15625,0.48958334,0.8359375,0.5,0.5015625,0.5,0.16666667,0.0,0.0
0.15625,0.47916666,0.828125,0.5,0.503125,0.5,0.16666667,0.0,0.0
0.15625,0.46875,0.8203125,0.5,0.5046875,0.5,0.16666667,0.0,0.0
0.15625,0.45833334,0.8125,0.5,0.50625,0.5,0.16666667,0.0,0.0
0.15625,0.44791666,0.8046875,0.5,0.5078125,0.5,0.16666667,0.0,0.0
0.15625,0.4375,0.796875,0.5,0.509375,0.5,0.16666667,0.0,0.0
0.15625,0.42708334,0.7890625,0.5,0.5109375,0.5,0.16666667,0.0,0.0
0.15625,0.41666666,0.78125,0.5,0.5125,0.5,0.16666667,0.0,0.0
0.15625,0.40625,0.7734375,0.5,0.5140625,0.5,0.16666667,0.0,0.0
0.15625,0.39583334,0.765625,0.5,0.515625,0.5,0.16666667,0.0,0.0
0.15625,0.38541666,0.7578125,0.5,0.5171875,0.5,0.16666667,0.0,0.0
0.15625,0.375,0.75,0.5,0.51875,0.5,0.16666667,0.0,0.0
0.15625,0.36458334,0.7421875,0.5,0.5203125,0.5,0.16666667,0.0,0.0
0.15625,0.35416666,0.734375,0.5,0.521875,0.5,0.16666667,0.0,0.0
0.15625,0.34375,0.7265625,0.5,0.5234375,0.5,0.16666667,0.0,0.0
0.15625,0.33333334,0.71875,0.5,0.525,0.5,0.16666667,0.0,0.0
0.15625,0.32291666,0.7109375,0.5,0.5265625,0.5,0.16666667,0.0,0.0
0.15625,0.3125,0.703125,0.5,0.528125,0.5,0.16666667,0.0,0.0
0.15625,0.30208334,0.6953125,0.5,0.5296875,0.5,0.16666667,0.0,0.0
0.15625,0.29166666,0.6875,0.5,0.53125,0.5,0.16666667,0.0,0.0
0.15625,0.28125,0.6796875,0.5,0.5328125,0.5,0.16666667,0.0,0.0
0.15625,0.27083334,0.671875,0.5,0.534375,0.5,0.16666667,0.0,0.0
0.15625,0.26041666,0.6640625,0.5,0.5359375,0.5,0.16666667,0.0,0.0
0.15625,0.25,0.65625,0.5,0.5375,0.5,0.16666667,0.0,0.0
0.15625,0.23958333,0.6484375,0.5,0.5390625,0.5,0.16666667,0.0,0.0
0.15625,0.22916667,0.640625,0.5,0.540625,0.5,0.16666667,0.0,0.0
0.15625,0.21875,0.6328125,0.5,0.5421875,0.5,0.16666667,0.0,0.0
0.15625,0.20833333,0.625,0.5,0.54375,0.5,0.16666667,0.0,0.0
0.15625,0.19791667,0.6171875,0.5,0.5453125,0.5,0.16666667,0.0,0.0
0.15625,0.1875,0.609375,0.5,0.546875,0.5,0.16666667,0.0,0.0
0.15625,0.17708333,0.6015625,0.5,0.5484375,0.5,0.16666667,0.0,0.0
0.15625,0.16666667,0.59375,0.5,0.55,0.5,0.16666667,0.0,0.0
0.15625,0.15625,0.5859375,0.5,0.5515625,0.5,0.16666667,0.0,0.0
0.15625,0.14583333,0.578125,0.5,0.553125,0.5,0.16666667,0.0,0.0
0.15625,0.13541667,0.5703125,0.5,0.5546875,0.5,0.16666667,0.0,0.0
0.15625,0.125,0.5625,0.5,0.571875,0.5104167,0.16666667,0.0,1.0
0.15625,0.114583336,0.5625,0.5,0.5625,0.5104167,-1.0,0.0,0.0
0.1484375,0.114583336,0.5546875,0.5,0.553125,0.5104167,-1.0,0.0,1.0
0.1484375,0.104166664,0.5546875,0.5,0.54375,0.5104167,-1.0,0.0,0.0
0.140625,0.104166664,0.546875,0.5,0.5453125,0.5104167,-1.0,0.0,1.0
0.140625,0.09375,0.546875,0.5,0.5359375,0.5104167,-1.0,0.0,0.0
0.1328125,0.09375,0.5390625,0.5,0.5375,0.5104167,-1.0,0.0,1.0
0.1328125,0.083333336,0.5390625,0.5,0.528125,0.5104167,-1.0,0.0,0.0
0.125,0.083333336,0.53125,0.5,0.5296875,0.5104167,-1.0,0.0,1.0
0.125,0.072916664,0.53125,0.5,0.5203125,0.5104167,-1.0,0.0,0.0
0.1171875,0.072916664,0.5234375,0.5,0.521875,0.5104167,-1.0,0.0,1.0
0.1171875,0.0625,0.5234375,0.5,0.5125,0.5104167,-1.0,0.0,0.0
