Generation,MaxFitness
1,3.90200099999997
2,4.376000999999962
3,4.416000999999962
4,4.360000999999962
5,3.926000999999962
6,4.338000999999962
7,4.178000999999957
8,4.548000999999934
9,4.156000999999958
10,4.40200099999996
11,4.430000999999962
12,4.286000999999927
13,4.114000999999966
14,4.16000099999997
15,4.206000999999964
16,4.08200099999997
17,4.014000999999955
18,3.984000999999952
19,4.338000999999964
20,4.134000999999938
21,4.1180009999999685
22,5.060000999999918
23,4.156000999999956
24,4.338000999999964
25,4.07600099999996
26,4.206000999999958
27,3.970000999999955
28,5.488000999999943
29,4.00200099999997
30,5.176000999999929
31,4.186000999999956
32,5.002000999999955
33,5.148000999999938
34,4.218000999999965
35,3.9940009999999373
36,4.114000999999949
37,4.194000999999958
38,4.5760009999999385
39,4.1700009999999645
40,4.280000999999943
41,4.102000999999966
42,3.9440009999999743
43,4.946000999999948
44,4.0880009999999665
45,4.196000999999964
46,4.180000999999966
47,3.9460009999999723
48,4.1600009999999665
49,3.9800009999999606
50,3.940000999999972
