Generation,MaxFitness
1,4.106000999999966
2,3.9120009999999716
3,3.9520009999999712
4,4.324000999999953
5,4.172000999999959
6,3.9220009999999714
7,3.9540009999999723
8,4.596000999999937
9,4.196000999999965
10,4.194000999999956
11,4.146000999999946
12,4.170000999999958
13,3.948000999999971
14,4.422000999999941
15,3.9560009999999703
16,3.9640009999999704
17,4.480000999999931
18,3.8600009999999725
19,4.352000999999956
20,3.9480009999999734
21,3.9400009999999708
22,4.202000999999955
23,4.202000999999966
24,4.186000999999966
25,3.916000999999973
26,3.940000999999975
27,3.978000999999925
28,3.8820009999999754
29,3.94400099999997
30,4.698000999999938
31,3.946000999999974
32,3.9160009999999486
33,4.034000999999942
34,3.968000999999974
35,4.314000999999952
36,3.9440009999999743
37,3.8740009999999643
38,3.968000999999971
39,3.9160009999999614
40,3.8860009999999616
41,4.622000999999937
42,3.9700009999999195
43,3.8820009999999616
44,3.9260009999999723
45,4.178000999999927
46,3.9300009999999714
47,3.780000999999954
48,3.946000999999971
49,3.900000999999973
50,4.282000999999928
51,4.132000999999966
52,3.98400099999995
53,4.16600099999996
54,3.99800099999994
55,4.182000999999958
56,4.254000999999958
57,3.9420009999999697
58,4.24200099999995
59,4.1440009999999585
60,3.914000999999973
61,4.318000999999948
62,4.122000999999967
63,4.340000999999923
64,3.9440009999999743
65,4.104000999999966
66,4.1780009999999566
67,3.950000999999972
68,4.168000999999955
69,3.9620009999999706
70,3.9280009999999703
