Generation,MaxFitness
1,3.9740009999999693
2,4.09400099999997
3,4.054000999999968
4,4.482000999999961
5,4.088000999999967
6,4.456000999999961
7,4.2020009999999655
8,4.51200099999996
9,4.480000999999961
10,4.534000999999959
11,4.390000999999962
12,4.51200099999996
13,4.040000999999971
14,4.478000999999961
15,4.540000999999958
16,4.51200099999996
17,4.036000999999969
18,4.542000999999959
19,4.542000999999959
20,4.50400099999996
21,4.336000999999962
22,4.5060009999999595
23,4.0460009999999675
24,4.098000999999969
25,4.274000999999965
26,4.448000999999961
27,4.2340009999999655
28,3.9540009999999697
29,4.2340009999999655
30,4.2420009999999655
31,4.2260009999999655
32,4.2580009999999655
33,4.230000999999966
34,4.246000999999965
35,3.9540009999999697
36,4.60200099999996
37,4.598000999999959
38,4.6200009999999585
39,4.584000999999959
40,4.57800099999996
41,4.614000999999959
42,4.10200099999997
43,4.5540009999999596
44,4.57400099999996
45,4.56600099999996
46,4.038000999999968
47,4.574000999999959
48,4.590000999999959
49,4.57000099999996
50,4.614000999999959
