p1_x,p1_y,p2_x,p2_y,ball_x,ball_y,ball_vel_0,ball_vel_1,possession
0.1640625,0.5,0.8359375,0.5,0.5015625,0.5,0.16666667,0.0,0.0
0.171875,0.5,0.828125,0.5,0.503125,0.5,0.16666667,0.0,0.0
0.1796875,0.5,0.8203125,0.5,0.5046875,0.5,0.16666667,0.0,0.0
0.1875,0.5,0.8125,0.5,0.50625,0.5,0.16666667,0.0,0.0
0.1953125,0.5,0.8046875,0.5,0.5078125,0.5,0.16666667,0.0,0.0
0.203125,0.5,0.796875,0.5,0.509375,0.5,0.16666667,0.0,0.0
0.2109375,0.5,0.7890625,0.5,0.5109375,0.5,0.16666667,0.0,0.0
0.21875,0.5,0.78125,0.5,0.5125,0.5,0.16666667,0.0,0.0
0.2265625,0.5,0.7734375,0.5,0.5140625,0.5,0.16666667,0.0,0.0
0.234375,0.5,0.765625,0.5,0.515625,0.5,0.16666667,0.0,0.0
0.2421875,0.5,0.7578125,0.5,0.5171875,0.5,0.16666667,0.0,0.0
0.25,0.5,0.75,0.5,0.51875,0.5,0.16666667,0.0,0.0
0.2578125,0.5,0.7421875,0.5,0.5203125,0.5,0.16666667,0.0,0.0
0.265625,0.5,0.734375,0.5,0.521875,0.5,0.16666667,0.0,0.0
0.2734375,0.5,0.7265625,0.5,0.5234375,0.5,0.16666667,0.0,0.0
0.28125,0.5,0.71875,0.5,0.525,0.5,0.16666667,0.0,0.0
0.2890625,0.5,0.7109375,0.5,0.5265625,0.5,0.16666667,0.0,0.0
0.296875,0.5,0.703125,0.5,0.528125,0.5,0.16666667,0.0,0.0
0.3046875,0.5,0.6953125,0.5,0.5296875,0.5,0.16666667,0.0,0.0
0.3125,0.5,0.6875,0.5,0.53125,0.5,0.16666667,0.0,0.0
0.3203125,0.5,0.6796875,0.5,0.5328125,0.5,0.16666667,0.0,0.0
0.328125,0.5,0.671875,0.5,0.534375,0.5,0.16666667,0.0,0.0
0.3359375,0.5,0.6640625,0.5,0.5359375,0.5,0.16666667,0.0,0.0
0.34375,0.5,0.65625,0.5,0.5375,0.5,0.16666667,0.0,0.0
