Generation,MaxFitness
1,3.826000999999934
2,3.958000999999948
3,3.4720009999999673
4,4.196000999999936
5,3.8540009999999554
6,3.8060009999999664
7,3.9320009999999694
8,4.1820009999999455
9,3.8760009999999525
10,4.140000999999961
11,3.856000999999965
12,3.9260009999999723
13,3.984000999999971
14,3.9300009999999514
15,3.9460009999999723
16,3.9360009999999703
17,3.892000999999963
18,4.392000999999952
19,3.966000999999943
20,4.168000999999951
21,3.946000999999974
22,3.9140009999999705
23,3.8740009999999527
24,4.616000999999937
25,4.164000999999947
26,3.9600009999999597
27,3.888000999999962
28,3.8520009999999543
29,5.134000999999948
30,5.090000999999941
31,4.674000999999937
32,5.8100009999999225
33,5.208000999999933
34,5.734000999999938
35,3.96000099999997
36,5.744000999999938
37,5.166000999999938
38,3.922000999999946
39,4.158000999999959
40,6.148000999999938
41,6.674000999999927
42,5.098000999999944
43,5.698000999999937
44,4.604000999999946
45,5.636000999999938
46,5.192000999999935
47,4.600000999999954
48,4.104000999999948
49,6.720000999999925
50,5.744000999999935
